id,timestamp,source_host,event_type,severity,message,raw_log
1,2026-06-20 15:34:37,endpoint-agent,test_event,low,Test event from endpoint,manual curl test
2,2026-06-20 16:18:09,endpoint-agent,failed_ssh,high,Failed SSH login detected,Jun 20 16:18:09 endpoint-agent sshd-session[4079]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.56.4  user=endpoint
3,2026-06-20 16:18:10,endpoint-agent,failed_ssh,high,Failed SSH login detected,2026-06-20T16:18:09.484324+00:00 endpoint-agent sshd-session[4079]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.56.4  user=endpoint
4,2026-06-20 16:18:12,endpoint-agent,failed_ssh,high,Failed SSH login detected,Jun 20 16:18:11 endpoint-agent sshd-session[4079]: Failed password for endpoint from 192.168.56.4 port 56700 ssh2
5,2026-06-20 16:18:12,endpoint-agent,failed_ssh,high,Failed SSH login detected,2026-06-20T16:18:11.725089+00:00 endpoint-agent sshd-session[4079]: Failed password for endpoint from 192.168.56.4 port 56700 ssh2
6,2026-06-20 16:18:20,endpoint-agent,failed_ssh,high,Failed SSH login detected,Jun 20 16:18:19 endpoint-agent sshd-session[4079]: Failed password for endpoint from 192.168.56.4 port 56700 ssh2
7,2026-06-20 16:18:20,endpoint-agent,failed_ssh,high,Failed SSH login detected,2026-06-20T16:18:19.832387+00:00 endpoint-agent sshd-session[4079]: Failed password for endpoint from 192.168.56.4 port 56700 ssh2
8,2026-06-20 16:19:18,endpoint-agent,successful_ssh,low,Successful SSH login detected,Jun 20 16:19:18 endpoint-agent sshd-session[4079]: Accepted password for endpoint from 192.168.56.4 port 56700 ssh2
9,2026-06-20 16:19:18,endpoint-agent,successful_ssh,low,Successful SSH login detected,Jun 20 16:19:18 endpoint-agent sshd-session[4079]: pam_unix(sshd:session): session opened for user endpoint(uid=1000) by endpoint(uid=0)
10,2026-06-20 16:19:19,endpoint-agent,successful_ssh,low,Successful SSH login detected,2026-06-20T16:19:18.361455+00:00 endpoint-agent sshd-session[4079]: Accepted password for endpoint from 192.168.56.4 port 56700 ssh2
11,2026-06-20 16:19:19,endpoint-agent,service_started,medium,Service started detected from system log,2026-06-20T16:19:18.370868+00:00 endpoint-agent systemd[1]: Started session-7.scope - Session 7 of User endpoint.
12,2026-06-20 16:19:19,endpoint-agent,successful_ssh,low,Successful SSH login detected,2026-06-20T16:19:18.362178+00:00 endpoint-agent sshd-session[4079]: pam_unix(sshd:session): session opened for user endpoint(uid=1000) by endpoint(uid=0)
13,2026-06-20 16:20:55,endpoint-agent,failed_ssh,high,Failed SSH login detected,Jun 20 16:20:54 endpoint-agent sshd-session[4229]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.56.4  user=endpoint
14,2026-06-20 16:20:55,endpoint-agent,failed_ssh,high,Failed SSH login detected,2026-06-20T16:20:54.854699+00:00 endpoint-agent sshd-session[4229]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.56.4  user=endpoint
15,2026-06-20 16:20:56,endpoint-agent,failed_ssh,high,Failed SSH login detected,2026-06-20T16:20:56.822716+00:00 endpoint-agent sshd-session[4229]: Failed password for endpoint from 192.168.56.4 port 51902 ssh2
16,2026-06-20 16:20:57,endpoint-agent,failed_ssh,high,Failed SSH login detected,Jun 20 16:20:56 endpoint-agent sshd-session[4229]: Failed password for endpoint from 192.168.56.4 port 51902 ssh2
17,2026-06-20 16:21:02,endpoint-agent,failed_ssh,high,Failed SSH login detected,Jun 20 16:21:02 endpoint-agent sshd-session[4229]: Failed password for endpoint from 192.168.56.4 port 51902 ssh2
18,2026-06-20 16:21:03,endpoint-agent,failed_ssh,high,Failed SSH login detected,2026-06-20T16:21:02.006814+00:00 endpoint-agent sshd-session[4229]: Failed password for endpoint from 192.168.56.4 port 51902 ssh2
19,2026-06-20 16:21:10,endpoint-agent,failed_ssh,high,Failed SSH login detected,2026-06-20T16:21:09.843271+00:00 endpoint-agent sshd-session[4229]: Failed password for endpoint from 192.168.56.4 port 51902 ssh2
20,2026-06-20 16:21:10,endpoint-agent,failed_ssh,high,Failed SSH login detected,Jun 20 16:21:09 endpoint-agent sshd-session[4229]: Failed password for endpoint from 192.168.56.4 port 51902 ssh2
21,2026-06-20 16:21:11,endpoint-agent,failed_ssh,high,Failed SSH login detected,Jun 20 16:21:10 endpoint-agent sshd-session[4229]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.56.4  user=endpoint
22,2026-06-20 16:21:11,endpoint-agent,failed_ssh,high,Failed SSH login detected,2026-06-20T16:21:10.713315+00:00 endpoint-agent sshd-session[4229]: PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.56.4  user=endpoint
23,2026-06-20 16:23:22,endpoint-agent,successful_ssh,low,Successful SSH login detected,Jun 20 16:23:22 endpoint-agent sshd-session[4265]: Accepted password for endpoint from 192.168.56.4 port 54068 ssh2
24,2026-06-20 16:23:22,endpoint-agent,successful_ssh,low,Successful SSH login detected,Jun 20 16:23:22 endpoint-agent sshd-session[4265]: pam_unix(sshd:session): session opened for user endpoint(uid=1000) by endpoint(uid=0)
25,2026-06-20 16:23:22,endpoint-agent,service_started,medium,Service started detected from system log,2026-06-20T16:23:22.045293+00:00 endpoint-agent systemd[1]: Started session-8.scope - Session 8 of User endpoint.
26,2026-06-20 16:23:22,endpoint-agent,successful_ssh,low,Successful SSH login detected,2026-06-20T16:23:22.025929+00:00 endpoint-agent sshd-session[4265]: Accepted password for endpoint from 192.168.56.4 port 54068 ssh2
27,2026-06-20 16:23:22,endpoint-agent,successful_ssh,low,Successful SSH login detected,2026-06-20T16:23:22.037741+00:00 endpoint-agent sshd-session[4265]: pam_unix(sshd:session): session opened for user endpoint(uid=1000) by endpoint(uid=0)
28,2026-06-20 16:25:01,endpoint-agent,failed_sudo,high,Failed sudo attempt detected,2026-06-20T16:25:01.039485+00:00 endpoint-agent sudo: pam_unix(sudo:auth): authentication failure; logname=endpoint uid=1000 euid=0 tty=/dev/pts/2 ruser=endpoint rhost=  user=endpoint
29,2026-06-20 16:25:44,endpoint-agent,failed_sudo,high,Failed sudo attempt detected,2026-06-20T16:25:44.412524+00:00 endpoint-agent sudo: pam_unix(sudo:auth): authentication failure; logname=endpoint uid=1000 euid=0 tty=/dev/pts/2 ruser=endpoint rhost=  user=endpoint
30,2026-06-20 16:27:59,endpoint-agent,user_created,high,User account creation detected,2026-06-20T16:27:58.903207+00:00 endpoint-agent sudo: endpoint : TTY=/dev/pts/2 ; PWD=/home/endpoint ; USER=root ; COMMAND=/usr/sbin/useradd -m testuser
31,2026-06-20 16:27:59,endpoint-agent,user_created,high,User account creation detected,"2026-06-20T16:27:59.033499+00:00 endpoint-agent useradd[4467]: new group: name=testuser, GID=1001"
32,2026-06-20 16:27:59,endpoint-agent,user_created,high,User account creation detected,"2026-06-20T16:27:59.034024+00:00 endpoint-agent useradd[4467]: new user: name=testuser, UID=1001, GID=1001, home=/home/testuser, shell=/bin/sh, from=/dev/pts/3"
33,2026-06-20 16:27:59,endpoint-agent,user_deleted,high,User account deletion detected,2026-06-20T16:27:59.092308+00:00 endpoint-agent sudo: endpoint : TTY=/dev/pts/2 ; PWD=/home/endpoint ; USER=root ; COMMAND=/usr/sbin/userdel -r testuser
34,2026-06-20 16:27:59,endpoint-agent,user_deleted,high,User account deletion detected,2026-06-20T16:27:59.108727+00:00 endpoint-agent userdel[4480]: delete user 'testuser'
35,2026-06-20 16:27:59,endpoint-agent,user_deleted,high,User account deletion detected,2026-06-20T16:27:59.109096+00:00 endpoint-agent userdel[4480]: removed group 'testuser' owned by 'testuser'
36,2026-06-20 16:27:59,endpoint-agent,user_deleted,high,User account deletion detected,2026-06-20T16:27:59.109182+00:00 endpoint-agent userdel[4480]: removed shadow group 'testuser' owned by 'testuser'
37,2026-06-20 16:32:24,endpoint-agent,file_created,low,File created: /tmp/siem_watch/test.txt,/tmp/siem_watch/test.txt
38,2026-06-20 16:40:10,endpoint-agent,file_created,low,File created: /tmp/siem_watch/test.txt,/tmp/siem_watch/test.txt
39,2026-06-20 16:40:10,endpoint-agent,file_modified,low,File modified: /tmp/siem_watch/test.txt,/tmp/siem_watch/test.txt
40,2026-06-20 16:40:10,endpoint-agent,file_deleted,medium,File deleted: /tmp/siem_watch/test.txt,/tmp/siem_watch/test.txt
41,2026-06-20 16:52:25,endpoint-agent,custom_log,medium,Custom application security log detected,2026-06-20T16:52:25.779246+00:00 endpoint-agent endpoint: UAS_SIEM_TEST custom security event from endpoint-agent
